ID,Case Number,Date,Time,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9484568,HX138313,02/03/2014,09:45:00 PM,068XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,CRIMINAL TRESPASS: TO LAND,CURRENCY EXCHANGE,true,false,725,7,17,67,26,1166825,1859026,2014,41.76872907435348,-87.66405896766315
9484656,HX138315,02/03/2014,09:45:00 PM,074XX S OGLESBY AVE,560,ASSAULT,ASSAULT: SIMPLE,VEHICLE NON-COMMERCIAL,false,true,334,3,7,43,08A,1193125,1856030,2014,41.75990579442994,-87.56775524919966
9484678,HX138316,02/03/2014,09:45:00 PM,028XX W SHAKESPEARE AVE,460,BATTERY,BATTERY: SIMPLE,STREET,false,false,1414,14,35,22,08B,1157170,1914271,2014,41.9205283726394,-87.69795146871068
9484641,HX138343,02/03/2014,09:40:00 PM,050XX W IRVING PARK RD,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,DRIVEWAY - RESIDENTIAL,true,false,1634,16,45,15,18,1142167,1926085,2014,41.95323894123737,-87.75278207835504
9484664,HX138298,02/03/2014,09:40:00 PM,025XX W 62ND ST,560,ASSAULT,ASSAULT: SIMPLE,RESIDENCE,false,false,825,8,15,66,08A,1160471,1863421,2014,41.78092289362261,-87.68722865974699
9484607,HX138295,02/03/2014,09:38:00 PM,019XX W FARRAGUT AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2012,20,40,4,08B,1162330,1934834,2014,41.97684786935639,-87.67841529325395
9484577,HX138290,02/03/2014,09:30:00 PM,012XX S WABASH AVE,2170,NARCOTICS,NARCOTICS: POSSESSION OF DRUG EQUIPMENT,SIDEWALK,true,false,131,1,2,33,18,1177003,1894848,2014,41.86680434622757,-87.62567024866675
9485796,HX139239,02/03/2014,09:30:00 PM,031XX N LOCKWOOD AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2514,25,30,19,08B,1140525,1920504,2014,41.93795450421406,-87.75895576025218
9484564,HX138291,02/03/2014,09:30:00 PM,055XX S SHIELDS AVE,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,STREET,true,false,711,7,3,68,18,1174957,1868030,2014,41.793259517996894,-87.6339827564487
9484681,HX138368,02/03/2014,09:30:00 PM,066XX N WASHTENAW AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2412,24,50,2,08B,1157155,1944245,2014,42.002779055594615,-87.69718896979168
9484638,HX138310,02/03/2014,09:16:00 PM,089XX S ASHLAND AVE,454,BATTERY,BATTERY: AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,2221,22,21,73,08B,1167208,1845086,2014,41.7304675743577,-87.66305313397206
9484596,HX138300,02/03/2014,09:15:00 PM,032XX N CENTRAL AVE,820,THEFT,THEFT: $500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1633,16,38,15,6,1138426,1920871,2014,41.938999922344806,-87.76666120157756
9484633,HX138266,02/03/2014,09:12:00 PM,025XX S WHIPPLE ST,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1033,10,12,30,18,1156404,1886655,2014,41.8447629232882,-87.70151293775466
9484562,HX138297,02/03/2014,09:12:00 PM,001XX W 112TH PL,1821,NARCOTICS,NARCOTICS: MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,522,5,34,49,18,1177395,1830317,2014,41.68971565374258,-87.62617929098015
9484575,HX138304,02/03/2014,09:12:00 PM,006XX W 62ND ST,2025,NARCOTICS,NARCOTICS: POSS: HALLUCINOGENS,STREET,true,false,711,7,16,68,18,1172974,1863734,2014,41.78151485975115,-87.64138097479052
9484541,HX138277,02/03/2014,09:11:00 PM,059XX W AUGUSTA BLVD,2820,OTHER OFFENSE,OTHER OFFENSE: TELEPHONE THREAT,APARTMENT,false,false,1511,15,29,25,26,1136306,1906089,2014,41.89847458233601,-87.77480670287541
